name,season,league_id,tot_goals,tot_shots,tot_shots_on_target,tot_fouls,tot_corners,tot_deep_passes,tot_yellows,tot_reds
Wolverhampton Wanderers,2020,1,36,464,155,425,209,139,53,0
West Ham,2020,1,62,469,165,374,168,172,48,3
West Bromwich Albion,2020,1,35,339,112,404,145,164,51,4
Tottenham,2020,1,68,444,176,439,168,193,53,2
Southampton,2020,1,47,423,168,426,178,222,52,3
Sheffield United,2020,1,20,326,101,459,171,198,73,3
Newcastle United,2020,1,46,396,142,388,161,138,61,3
Manchester United,2020,1,73,525,212,452,197,339,64,1
Manchester City,2020,1,83,600,219,361,247,405,46,2
Liverpool,2020,1,68,608,214,396,260,458,40,0
Leicester,2020,1,68,483,183,416,214,237,60,0
Leeds,2020,1,62,522,199,427,231,305,61,1
Fulham,2020,1,27,442,135,484,164,224,66,3
Everton,2020,1,47,400,148,386,167,207,58,2
Crystal Palace,2020,1,41,349,131,409,151,201,54,2
Chelsea,2020,1,58,558,208,433,227,337,48,3
Burnley,2020,1,33,384,130,384,172,233,48,0
Brighton,2020,1,40,487,143,427,219,311,45,6
Aston Villa,2020,1,55,521,187,439,215,274,63,3
Arsenal,2020,1,55,458,152,345,208,292,47,5
Wolverhampton Wanderers,2019,1,51,459,146,406,193,172,57,2
West Ham,2019,1,49,420,163,387,190,217,62,1
Watford,2019,1,36,422,122,484,167,227,75,3
Tottenham,2019,1,61,444,160,423,200,224,82,3
Southampton,2019,1,51,500,181,450,210,230,53,4
Sheffield United,2019,1,39,353,115,410,212,198,61,2
Norwich,2019,1,26,409,130,363,162,207,67,3
Newcastle United,2019,1,38,398,133,370,151,132,65,3
Manchester United,2019,1,66,544,216,433,204,290,72,0
Manchester City,2019,1,102,745,266,361,298,547,60,4
Liverpool,2019,1,85,591,231,331,258,429,38,1
Leicester,2019,1,67,540,191,418,222,293,41,3
Everton,2019,1,44,470,162,472,203,203,70,3
Crystal Palace,2019,1,31,376,120,425,177,225,61,2
Chelsea,2019,1,69,625,223,386,247,326,60,0
Burnley,2019,1,43,387,134,412,171,145,67,0
Brighton,2019,1,39,460,141,385,178,242,56,2
Bournemouth,2019,1,40,387,121,369,194,210,73,3
Aston Villa,2019,1,41,458,148,451,200,186,68,1
Arsenal,2019,1,56,406,151,421,231,265,86,5
Wolverhampton Wanderers,2018,1,47,476,152,409,195,184,72,1
West Ham,2018,1,52,441,157,331,187,261,59,1
Watford,2018,1,52,436,152,433,177,275,77,4
Tottenham,2018,1,67,537,189,375,194,270,56,3
Southampton,2018,1,45,485,162,420,193,206,71,3
Newcastle United,2018,1,42,445,142,422,181,178,57,2
Manchester United,2018,1,65,526,225,433,200,313,73,4
Manchester City,2018,1,95,683,260,328,287,582,44,1
Liverpool,2018,1,89,575,226,315,249,431,37,2
Leicester,2018,1,51,515,184,351,210,205,57,5
Huddersfield,2018,1,22,401,118,420,162,133,55,4
Fulham,2018,1,34,454,146,423,161,171,68,2
Everton,2018,1,54,496,169,432,215,211,55,4
Crystal Palace,2018,1,51,493,148,386,205,256,58,2
Chelsea,2018,1,63,606,198,339,215,376,49,0
Cardiff,2018,1,34,417,126,384,168,143,65,1
Burnley,2018,1,45,359,116,359,140,193,75,1
Brighton,2018,1,35,371,108,463,156,153,60,4
Bournemouth,2018,1,56,446,162,339,191,280,60,1
Arsenal,2018,1,73,467,171,412,212,400,72,2
West Ham,2017,1,48,372,133,379,161,173,72,2
West Bromwich Albion,2017,1,31,372,114,440,176,140,72,1
Watford,2017,1,44,437,132,441,184,232,63,4
Tottenham,2017,1,74,620,216,384,246,339,49,2
Swansea,2017,1,28,333,103,377,150,148,51,1
Stoke,2017,1,35,382,131,436,136,189,62,1
Southampton,2017,1,37,448,145,416,227,225,63,2
Newcastle United,2017,1,39,451,149,409,167,171,52,2
Manchester United,2017,1,68,512,178,404,220,319,64,1
Manchester City,2017,1,106,663,264,344,284,541,58,2
