name,tot_appearances,tot_goals,tot_shots,tot_assists,tot_k_passes,tot_cautions,tot_ejections,avg_game_time
Lionel Messi,243,231,1244,97,596,27,0,84
Cristiano Ronaldo,224,215,1342,54,333,22,1,87
Robert Lewandowski,219,203,943,32,221,19,0,83
Luis Suárez,250,173,795,73,347,48,0,81
Harry Kane,231,163,886,34,252,27,0,85
Pierre-Emerick Aubameyang,226,149,670,31,210,16,2,83
Ciro Immobile,223,133,725,36,275,30,2,76
Sergio Agüero,188,132,714,31,190,15,1,74
Edinson Cavani,196,132,560,25,138,20,1,72
Mohamed Salah,229,130,721,53,410,6,1,80
Romelu Lukaku,248,128,670,37,295,21,0,81
Alexandre Lacazette,225,126,521,30,260,28,0,75
Mauro Icardi,206,121,535,29,200,9,0,78
Karim Benzema,224,120,650,55,314,5,0,78
Jamie Vardy,245,118,536,38,239,22,3,82
Antoine Griezmann,251,116,569,42,324,32,1,78
Neymar,167,114,610,61,454,31,5,85
Gonzalo Higuaín,206,113,707,23,241,16,2,77
Wissam Ben Yedder,225,107,490,35,271,11,1,75
Kylian Mbappe-Lottin,148,107,453,36,207,15,1,69
Iago Aspas,214,105,472,35,354,50,1,79
Fabio Quagliarella,236,102,768,26,214,14,0,80
Zlatan Ibrahimovic,125,99,507,31,178,14,1,80
Andrea Belotti,248,97,663,29,252,27,0,76
Sadio Mané,229,95,531,36,338,24,3,78
Timo Werner,227,93,573,39,216,13,0,74
Gerard Moreno,236,92,538,24,249,26,1,76
Duván Zapata,217,91,518,32,231,17,0,68
Dries Mertens,232,91,609,53,364,29,1,59
Edin Dzeko,221,89,779,37,255,30,1,73
Paulo Dybala,215,85,643,44,393,13,0,72
Raheem Sterling,230,85,534,44,364,28,1,79
Andrej Kramaric,175,84,497,27,220,9,1,71
Son Heung-Min,228,81,481,41,287,8,3,68
Carlos Bacca,217,79,344,19,153,22,0,61
Lorenzo Insigne,231,77,885,52,480,17,2,76
Kevin Volland,215,76,457,39,257,33,1,80
Gareth Bale,164,76,472,30,215,19,2,69
Luis Muriel,214,75,461,26,230,16,1,52
Álvaro Morata,217,75,423,34,177,42,3,57
Alexis Sánchez,206,74,514,45,387,21,1,69
Roberto Firmino,244,73,598,52,390,14,0,79
Thomas Müller,218,71,452,87,450,15,0,75
Josip Ilicic,200,70,569,41,392,21,2,64
Domenico Berardi,209,70,669,48,352,52,5,81
Marco Reus,152,69,374,31,246,10,2,78
Florian Thauvin,209,68,493,39,321,21,2,73
Paco Alcácer,181,67,295,23,123,6,1,58
Riyad Mahrez,226,66,485,46,350,7,0,72
Memphis Depay,171,66,478,44,348,15,0,69
Aduriz,164,66,354,12,93,42,1,68
Nabil Fekir,199,65,546,38,328,37,4,77
Eden Hazard,206,65,383,41,463,11,0,76
Alassane Pléa,202,64,508,32,202,20,2,76
Diego Costa,150,64,336,25,154,42,2,75
Anthony Martial,205,64,361,30,194,9,1,66
Olivier Giroud,185,63,357,17,134,12,1,49
Nils Petersen,174,63,276,12,125,4,1,56
Willian José,190,63,359,16,157,23,1,67
Raúl García,310,62,543,23,213,81,2,72
Falcao,127,61,297,15,77,16,0,65
Andy Delort,175,60,542,26,234,23,0,84
Max Kruse,170,60,341,42,353,8,0,82
Lars Stindl,188,60,381,29,271,38,1,78
Kevin Gameiro,202,59,245,17,116,3,0,50
João Pedro,183,58,343,15,164,29,3,75
Philippe Coutinho,193,56,566,38,310,10,1,71
Karl Toko Ekambi,163,56,386,19,179,14,0,74
Cristhian Stuani,125,56,218,0,41,25,1,69
Marcus Rashford,179,55,380,30,163,16,1,69
Leonardo Pavoletti,159,55,346,10,98,31,1,66
Ángel Di María,198,55,543,75,484,8,1,72
Danny Ings,140,55,321,13,128,12,0,74
Mikel Oyarzabal,202,54,341,34,243,11,0,78
Santi Mina,205,54,269,17,98,25,0,58
Callum Wilson,152,53,269,17,111,15,0,77
Serge Gnabry,138,53,331,23,177,5,0,66
Wout Weghorst,100,53,252,18,119,14,0,86
Kevin De Bruyne,213,53,540,97,650,18,0,80
Nicolas Pepe,167,53,325,22,179,13,1,66
Alejandro Gomez,227,53,588,59,527,19,2,78
Christian Benteke,195,53,443,15,166,25,3,67
Chicharito,143,52,229,10,92,14,0,58
Gylfi Sigurdsson,242,52,491,43,415,20,0,79
Simone Zaza,193,52,417,8,95,53,3,60
Daniel Parejo,244,51,300,39,400,61,4,87
André Silva,109,51,267,8,107,7,0,69
Anthony Modeste,136,51,320,7,55,12,0,65
Lucas Pérez,181,51,304,27,307,17,0,70
Ivan Perisic,221,51,509,37,303,24,1,73
Manolo Gabbiadini,187,51,357,11,128,17,1,47
Giovanni Simeone,179,50,376,13,115,12,0,72
Morales,219,50,339,26,251,26,1,76
Valère Germain,223,50,293,21,133,8,0,57
Dele Alli,171,50,330,34,230,24,0,75
Gabriel Jesus,131,50,278,21,112,14,0,57
Henrikh Mkhitaryan,193,49,394,48,307,20,0,71
Wahbi Khazri,181,49,399,24,291,50,3,72
James Rodríguez,151,49,247,46,349,16,0,66
José Callejón,238,49,405,50,394,14,1,74
